"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"NIFTY 50","24,329.45","24,344.60","24,240.55","24,323.85","24,320.55","-3.30","-0.01","26,62,99,131","26,355.91","24,401.00","18,837.85","4.44","25.82"
"ONGC","290.00","303.00","287.35","288.20","300.15","11.95","4.15","5,31,36,198","1,572.88","303.00","162.50","10.68","76.27"
"ITC","435.15","444.55","433.65","433.65","443.80","10.15","2.34","2,05,21,107","902.44","499.70","399.35","-1.25","-7.42"
"HDFCLIFE","609.00","622.05","608.60","607.35","621.00","13.65","2.25","68,00,857","418.43","710.60","511.40","7.89","-7.71"
"HINDUNILVR","2,560.00","2,595.00","2,536.25","2,547.00","2,581.00","34.00","1.33","28,18,809","726.73","2,769.65","2,172.05","-1.19","-5.60"
"WIPRO","535.95","543.00","535.00","535.10","542.20","7.10","1.33","60,88,180","328.77","548.80","375.05","10.43","35.18"
"HCLTECH","1,528.00","1,540.00","1,506.20","1,519.40","1,537.95","18.55","1.22","29,39,620","447.10","1,697.35","1,087.05","6.14","31.25"
"TATACONSUM","1,138.00","1,164.00","1,136.00","1,137.40","1,150.00","12.60","1.11","19,58,676","225.51","1,269.00","822.00","0.15","36.50"
"NESTLEIND","2,574.15","2,620.00","2,561.45","2,574.15","2,600.00","25.85","1.00","7,24,276","188.09","2,769.30","2,145.00","2.87","-88.76"
"TATAMOTORS","1,005.00","1,016.60","996.20","993.65","1,002.90","9.25","0.93","1,33,12,085","1,339.01","1,065.60","588.55","2.39","60.73"
"INFY","1,643.10","1,666.00","1,640.00","1,647.45","1,660.95","13.50","0.82","58,80,533","974.16","1,733.00","1,305.00","7.42","23.85"
"RELIANCE","3,178.00","3,217.60","3,165.05","3,177.25","3,201.50","24.25","0.76","47,50,403","1,518.14","3,217.60","2,220.30","8.07","20.64"
"DRREDDY","6,520.00","6,575.00","6,486.00","6,520.00","6,550.00","30.00","0.46","1,61,476","105.50","6,575.00","5,076.25","7.57","25.81"
"COALINDIA","492.70","496.00","487.20","491.50","493.50","2.00","0.41","74,77,292","368.23","527.40","226.85","2.58","110.04"
"BHARTIARTL","1,431.00","1,438.85","1,423.15","1,429.70","1,434.55","4.85","0.34","32,61,797","467.75","1,536.25","847.05","0.31","64.25"
"INDUSINDBK","1,428.00","1,441.70","1,422.80","1,434.25","1,439.00","4.75","0.33","27,72,277","398.00","1,694.50","1,345.15","-3.88","5.68"
"EICHERMOT","4,758.95","4,775.00","4,716.00","4,737.30","4,752.55","15.25","0.32","5,42,470","257.65","4,976.00","3,160.00","-0.52","48.75"
"ICICIBANK","1,228.90","1,239.50","1,216.90","1,233.40","1,237.00","3.60","0.29","66,17,190","815.79","1,242.60","899.00","9.96","30.33"
"TECHM","1,461.35","1,478.95","1,460.15","1,461.35","1,465.20","3.85","0.26","8,07,698","118.50","1,498.00","1,082.30","6.08","26.41"
"BRITANNIA","5,555.00","5,615.95","5,534.05","5,546.80","5,556.45","9.65","0.17","1,71,210","95.40","5,725.00","4,347.70","1.52","9.74"
"KOTAKBANK","1,854.00","1,857.25","1,835.45","1,852.70","1,855.80","3.10","0.17","38,61,203","714.13","1,987.75","1,543.85","5.65","-0.04"
"AXISBANK","1,285.00","1,297.40","1,279.60","1,287.05","1,289.00","1.95","0.15","42,16,951","542.25","1,310.00","927.15","8.45","31.78"
"LT","3,640.10","3,645.70","3,594.00","3,627.15","3,631.90","4.75","0.13","17,06,210","617.69","3,919.90","2,420.00","2.68","48.09"
"POWERGRID","341.00","341.00","336.85","339.40","339.80","0.40","0.12","78,28,162","265.41","348.70","177.53","9.71","32.86"
"HINDALCO","703.65","705.90","691.65","699.15","697.60","-1.55","-0.22","26,36,146","184.06","715.25","417.15","2.76","65.40"
"SBIN","859.75","865.00","853.50","859.75","856.75","-3.00","-0.35","1,03,59,800","889.42","912.00","543.20","3.59","44.84"
"LTIM","5,421.70","5,459.65","5,347.25","5,421.70","5,402.05","-19.65","-0.36","1,98,972","107.30","6,442.00","4,513.55","8.93","6.01"
"TCS","4,022.00","4,031.25","3,978.05","4,011.80","3,997.00","-14.80","-0.37","17,58,882","702.82","4,254.75","3,250.10","3.03","20.50"
"APOLLOHOSP","6,380.00","6,387.95","6,292.80","6,328.55","6,300.75","-27.80","-0.44","3,17,731","200.85","6,874.45","4,726.00","5.22","22.97"
"NTPC","380.85","381.25","376.15","379.80","378.10","-1.70","-0.45","88,98,299","336.64","393.20","184.75","5.32","97.20"
"MARUTI","12,104.00","12,112.00","11,966.00","12,104.05","12,045.00","-59.05","-0.49","4,96,933","597.49","13,073.95","9,254.15","-5.52","22.88"
"GRASIM","2,751.70","2,754.95","2,713.85","2,748.00","2,734.40","-13.60","-0.49","3,33,988","91.28","2,762.70","1,733.25","15.47","57.63"
"SBILIFE","1,529.40","1,531.95","1,508.25","1,529.40","1,521.50","-7.90","-0.52","7,74,723","117.51","1,569.40","1,251.65","7.26","18.19"
"BAJFINANCE","7,144.95","7,147.65","7,047.00","7,138.00","7,099.00","-39.00","-0.55","6,77,705","480.29","8,192.00","6,187.80","-0.74","-6.35"
"HDFCBANK","1,645.30","1,654.95","1,627.15","1,648.10","1,636.35","-11.75","-0.71","1,95,43,900","3,205.32","1,794.00","1,363.55","4.75","-0.74"
"HEROMOTOCO","5,565.65","5,630.00","5,487.55","5,558.05","5,518.00","-40.05","-0.72","4,78,557","265.32","5,894.55","2,890.00","-0.43","76.55"
"BAJAJFINSV","1,579.60","1,579.60","1,562.00","1,579.60","1,568.00","-11.60","-0.73","10,00,005","156.91","1,741.00","1,419.05","0.76","-2.19"
"SUNPHARMA","1,570.60","1,574.80","1,550.95","1,568.40","1,554.25","-14.15","-0.90","11,20,204","174.75","1,638.85","1,028.75","4.08","51.43"
"ULTRACEMCO","11,694.00","11,714.80","11,530.00","11,690.15","11,579.00","-111.15","-0.95","1,49,210","172.89","12,078.00","7,987.65","11.73","40.23"
"BAJAJ-AUTO","9,640.00","9,666.15","9,470.00","9,635.80","9,537.00","-98.80","-1.03","3,16,215","302.23","10,038.80","4,541.00","-0.92","99.33"
"M&M","2,880.60","2,918.60","2,847.50","2,880.60","2,849.65","-30.95","-1.07","16,31,998","468.98","3,013.50","1,415.75","0.81","84.16"
"ADANIENT","3,147.90","3,158.20","3,075.00","3,147.90","3,112.00","-35.90","-1.14","11,55,112","358.59","3,743.90","2,142.00","-2.23","32.29"
"JSWSTEEL","955.90","955.90","934.05","954.05","942.85","-11.20","-1.17","15,69,620","147.70","959.40","723.00","4.59","21.01"
"ASIANPAINT","2,935.90","2,935.90","2,890.70","2,935.90","2,901.00","-34.90","-1.19","8,28,260","240.37","3,568.00","2,670.10","0.28","-12.20"
"CIPLA","1,516.00","1,524.65","1,483.20","1,509.90","1,491.00","-18.90","-1.25","15,24,489","228.73","1,582.00","998.05","0.84","47.94"
"TATASTEEL","174.60","175.47","172.09","174.71","172.49","-2.22","-1.27","3,14,79,861","545.70","184.60","111.25","-2.34","56.55"
"ADANIPORTS","1,496.00","1,501.05","1,469.00","1,500.45","1,477.00","-23.45","-1.56","21,77,821","322.15","1,621.40","708.00","8.82","108.77"
"SHRIRAMFIN","2,856.00","2,856.00","2,796.10","2,865.85","2,810.00","-55.85","-1.95","8,13,151","228.97","3,059.45","1,703.85","14.73","66.75"
"BPCL","304.60","307.95","298.80","306.65","299.00","-7.65","-2.49","1,14,88,688","346.76","343.98","165.73","-48.87","-21.70"
"DIVISLAB","4,629.40","4,649.65","4,445.00","4,629.70","4,480.00","-149.70","-3.23","8,90,261","399.83","4,670.00","3,295.30","2.34","26.20"
"TITAN","3,204.00","3,204.00","3,126.10","3,269.35","3,160.45","-108.90","-3.33","53,23,920","1,675.49","3,886.95","2,882.45","-5.07","3.99"
