"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"NIFTY MICROCAP 250","24,175.55","24,278.25","23,867.35","24,072.10","23,984.65","-87.45","-0.36","65,24,75,635","10,882.46","24,278.25","5,802.95","13.25","78.83"
"EVEREADY","360.50","424.50","360.50","360.20","407.00","46.80","12.99","77,10,050","310.14","441.90","295.05","8.02","7.36"
"NFL","136.00","151.79","135.52","134.91","151.28","16.37","12.13","4,76,05,922","686.00","155.50","65.05","30.54","85.95"
"PARADEEP","84.54","92.90","84.06","84.14","92.50","8.36","9.94","1,56,60,310","138.92","93.90","58.65","23.10","30.96"
"DELTACORP","135.50","147.95","133.75","134.53","144.97","10.44","7.76","1,52,64,472","218.21","257.00","104.45","14.69","-45.85"
"EMIL","224.05","247.61","221.50","225.10","241.50","16.40","7.29","7,66,949","18.01","250.00","86.50","5.16","150.67"
"LUXIND","1,515.00","1,619.95","1,515.00","1,512.45","1,616.00","103.55","6.85","4,97,008","79.11","1,719.55","1,071.75","4.53","0.93"
"ANANTRAJ","530.05","552.00","525.85","514.55","548.40","33.85","6.58","32,45,519","176.17","552.00","175.50","31.65","188.26"
"IFCI","61.51","67.25","61.50","60.91","64.75","3.84","6.30","8,22,63,257","536.69","71.80","12.25","5.75","383.41"
"GREAVESCOT","157.00","167.25","156.00","156.59","165.50","8.91","5.69","80,04,625","130.41","175.70","112.05","22.53","15.74"
"MIDHANI","507.00","541.00","505.05","495.90","524.05","28.15","5.68","1,29,43,664","677.42","547.50","287.10","19.41","62.43"
"SANDUMA","559.45","592.40","550.00","555.25","585.00","29.75","5.36","4,57,347","26.54","634.80","238.27","4.02","-"
"STYLAMIND","2,054.95","2,090.00","1,994.40","1,961.10","2,060.20","99.10","5.05","93,614","19.10","2,090.00","1,414.00","23.20","24.66"
"TEXRAIL","279.00","295.50","278.81","273.34","287.00","13.66","5.00","2,10,02,672","600.59","295.50","76.70","48.27","237.25"
"NAVA","742.00","760.00","733.05","711.80","745.30","33.50","4.71","4,32,443","32.31","777.00","307.30","20.90","124.37"
"BASF","5,440.00","5,885.00","5,390.20","5,379.10","5,630.00","250.90","4.66","1,22,272","68.94","5,885.00","2,430.00","24.32","107.91"
"LLOYDSENGG","75.74","78.90","75.40","75.04","78.30","3.26","4.34","1,27,46,892","98.47","78.90","24.81","16.16","-"
"GANESHHOUC","1,065.95","1,110.00","1,052.60","1,040.80","1,085.00","44.20","4.25","5,03,293","54.52","1,110.00","361.80","9.76","154.94"
"ORIENTCEM","300.00","314.00","289.05","296.80","308.95","12.15","4.09","23,18,961","70.44","330.00","134.10","32.68","118.07"
"GODREJAGRO","790.55","824.90","781.10","789.40","820.10","30.70","3.89","5,53,595","44.46","841.95","446.35","40.73","70.88"
"DBCORP","364.85","379.40","359.05","364.60","377.00","12.40","3.40","3,86,329","14.25","379.40","152.00","22.86","136.22"
"KPIGREEN","1,836.95","1,864.80","1,817.00","1,782.95","1,840.10","57.15","3.21","4,30,512","79.28","2,109.15","497.33","-2.48","109.27"
"SPLPETRO","856.00","875.00","850.00","848.70","875.00","26.30","3.10","1,89,942","16.35","875.00","409.00","20.42","97.01"
"BAJAJCON","265.00","275.00","264.95","263.75","271.80","8.05","3.05","11,14,067","30.23","275.00","192.00","3.76","35.57"
"PSPPROJECT","680.85","709.50","679.95","680.85","701.00","20.15","2.96","1,78,676","12.49","846.00","599.90","2.56","-4.82"
"MOIL","547.00","588.00","545.15","542.35","556.60","14.25","2.63","1,01,12,158","576.29","588.00","177.65","10.35","202.48"
"GLOBUSSPR","816.00","849.10","814.85","819.05","838.50","19.45","2.37","2,34,239","19.59","1,288.00","661.30","10.32","-34.48"
"IOLCP","436.70","444.25","431.20","430.20","440.00","9.80","2.28","5,37,389","23.59","535.90","330.85","17.28","14.55"
"VMART","3,245.00","3,317.95","3,222.05","3,248.80","3,314.90","66.10","2.03","35,542","11.60","3,317.95","1,595.00","23.34","49.08"
