"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"NIFTY MIDCAP SELECT","12,539.75","12,562.00","12,323.25","12,520.35","12,373.75","-146.60","-1.17","64,42,64,584","7,484.48","12,562.00","5,520.25","5.25","50.04"
"FEDERALBNK","187.10","189.30","185.27","186.19","188.30","2.11","1.13","1,74,05,153","326.76","189.30","126.45","13.94","39.15"
"GODREJPROP","3,298.00","3,325.00","3,254.80","3,281.70","3,305.35","23.65","0.72","6,79,741","223.70","3,358.05","1,495.30","15.26","109.38"
"VOLTAS","1,452.75","1,479.00","1,439.05","1,452.75","1,462.95","10.20","0.70","15,37,206","223.72","1,560.00","745.00","0.56","92.00"
"LUPIN","1,770.20","1,785.25","1,760.25","1,770.20","1,781.50","11.30","0.64","14,57,380","258.42","1,785.25","889.75","9.17","97.52"
"PAGEIND","39,590.00","39,600.00","38,850.00","39,410.35","39,590.00","179.65","0.46","32,294","126.66","42,885.00","33,070.05","2.90","7.93"
"AUROPHARMA","1,305.10","1,327.70","1,285.75","1,303.55","1,308.45","4.90","0.38","14,86,444","193.57","1,327.70","720.55","3.18","75.08"
"JUBLFOOD","570.00","577.00","564.10","570.55","571.90","1.35","0.24","20,15,301","115.08","586.95","421.05","10.73","16.40"
"BHARATFORG","1,682.95","1,693.25","1,646.25","1,672.25","1,675.10","2.85","0.17","14,98,080","249.70","1,804.50","839.00","5.74","98.60"
"COFORGE","5,917.95","5,975.35","5,752.65","5,870.15","5,868.00","-2.15","-0.04","7,50,011","440.22","6,847.45","4,287.25","7.81","24.81"
"MRF","1,29,174.00","1,31,230.50","1,28,058.95","1,28,951.05","1,28,900.05","-51.00","-0.04","20,120","261.14","1,51,445.00","1,00,043.50","1.17","27.21"
"PIIND","3,765.15","3,795.10","3,730.10","3,788.50","3,774.00","-14.50","-0.38","4,75,219","178.50","4,040.00","3,220.00","3.13","-0.24"
"MPHASIS","2,635.00","2,652.00","2,589.85","2,628.90","2,611.50","-17.40","-0.66","10,79,731","282.17","2,837.60","1,850.00","5.57","38.99"
"UPL","572.70","574.80","562.15","572.70","568.80","-3.90","-0.68","26,95,359","152.75","676.00","447.80","5.12","-14.42"
"INDHOTEL","615.00","616.10","604.10","614.50","608.55","-5.95","-0.97","50,74,219","308.37","662.95","371.60","4.03","59.16"
"HINDPETRO","332.55","336.20","326.15","332.45","328.50","-3.95","-1.19","99,73,397","329.86","396.53","159.47","-37.41","7.17"
"POLYCAB","6,639.00","6,675.00","6,535.00","6,634.10","6,549.80","-84.30","-1.27","5,60,888","369.47","7,331.45","3,491.00","-4.38","86.61"
"CONCOR","1,063.95","1,064.70","1,033.80","1,057.90","1,043.75","-14.15","-1.34","26,04,978","272.75","1,180.00","645.90","-1.10","55.54"
"ASHOKLEY","230.00","231.28","224.85","229.56","226.35","-3.21","-1.40","1,17,46,524","267.25","245.67","157.55","-2.33","38.17"
"HDFCAMC","4,231.00","4,252.20","4,103.65","4,234.70","4,169.45","-65.25","-1.54","7,25,210","301.65","4,264.95","2,218.55","8.78","84.60"
"IDFCFIRSTB","81.18","81.35","79.46","81.19","79.90","-1.29","-1.59","3,22,09,972","258.29","100.70","70.80","2.65","0.08"
"ASTRAL","2,414.00","2,414.20","2,307.85","2,406.25","2,342.40","-63.85","-2.65","8,71,732","204.23","2,454.00","1,740.00","7.95","30.38"
"IDEA","17.10","17.23","16.50","17.09","16.61","-0.48","-2.81","54,12,64,689","911.49","19.18","7.15","4.48","122.28"
"CUMMINSIND","4,144.00","4,154.00","3,960.80","4,134.00","4,000.60","-133.40","-3.23","9,37,986","376.53","4,171.90","1,653.30","10.93","110.31"
"PERSISTENT","4,779.80","4,784.95","4,566.25","4,771.25","4,599.25","-172.00","-3.60","9,71,949","450.91","4,845.70","1,158.59","19.12","-5.04"
"AUBANK","667.95","668.25","639.10","672.60","645.00","-27.60","-4.10","61,91,001","401.31","813.40","553.70","-3.93","-15.62"
