"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"NIFTY MIDSMALLCAP 400","20,171.90","20,200.90","19,967.55","20,088.10","20,031.00","-57.10","-0.28","2,79,99,77,222","69,254.28","20,200.90","12,600.95","8.00","59.92"
"RVNL","508.00","578.95","508.00","491.05","567.50","76.45","15.57","17,83,60,632","9,901.69","578.95","117.05","51.09","364.23"
"RCF","205.18","233.00","205.00","203.94","231.00","27.06","13.27","5,35,84,185","1,177.62","233.00","105.25","47.87","96.30"
"FACT","1,025.05","1,118.95","1,020.00","1,017.25","1,118.95","101.70","10.00","43,86,234","476.15","1,187.00","413.15","58.72","136.83"
"PAYTM","440.20","479.90","440.20","436.55","472.95","36.40","8.34","1,26,98,807","592.27","998.30","310.00","23.88","-44.48"
"GESHIP","1,303.35","1,449.95","1,303.35","1,267.80","1,354.00","86.20","6.80","69,76,979","959.08","1,449.95","722.50","16.01","81.15"
"GSFC","244.14","258.90","243.32","243.48","258.25","14.77","6.07","1,26,63,863","321.13","322.25","146.15","22.87","54.41"
"IRCON","311.90","334.50","310.75","307.75","326.25","18.50","6.01","6,96,90,983","2,275.62","334.50","79.00","30.31","298.48"
"FSL","239.13","254.65","239.13","235.71","249.57","13.86","5.88","1,12,18,038","279.33","254.65","124.50","27.00","96.40"
"METROBRAND","1,315.00","1,398.00","1,279.05","1,217.45","1,285.00","67.55","5.55","29,50,894","395.33","1,441.20","960.25","11.26","26.81"
"PNCINFRA","486.50","509.80","484.00","481.50","507.90","26.40","5.48","20,52,553","102.30","574.80","310.10","-4.24","43.77"
"GMDCLTD","402.00","436.20","402.00","401.45","423.25","21.80","5.43","1,67,86,494","714.70","506.00","165.05","11.28","153.67"
"HBLPOWER","590.00","621.00","581.05","569.65","599.50","29.85","5.24","66,16,055","399.66","621.00","152.30","26.30","257.99"
"SWANENERGY","692.60","692.60","692.60","659.65","692.60","32.95","5.00","3,81,237","26.40","782.25","214.25","17.65","164.45"
"OLECTRA","1,820.00","1,948.00","1,819.50","1,823.35","1,912.00","88.65","4.86","43,51,214","829.98","2,221.95","985.10","9.11","54.83"
"NATIONALUM","199.80","207.50","198.63","199.02","207.30","8.28","4.16","2,56,66,049","521.30","207.50","82.65","11.34","148.87"
"SUNTECK","544.30","563.00","517.60","539.60","562.00","22.40","4.15","10,86,623","58.90","619.40","284.80","9.40","66.09"
"JBMA","2,158.00","2,319.75","2,130.70","2,149.60","2,238.65","89.05","4.14","12,63,222","285.21","2,428.35","1,113.35","10.23","65.47"
"BHEL","317.30","329.95","315.55","316.40","329.50","13.10","4.14","4,56,85,018","1,482.43","329.95","89.25","15.01","258.46"
"TIINDIA","4,254.00","4,405.00","4,171.10","4,231.80","4,404.00","172.20","4.07","2,71,201","115.58","4,424.90","2,758.00","10.14","35.89"
"JYOTHYLAB","477.40","493.80","470.00","471.45","490.50","19.05","4.04","15,70,215","76.16","554.00","228.15","9.30","106.13"
"KPIL","1,237.95","1,284.70","1,229.95","1,228.00","1,274.70","46.70","3.80","14,94,325","189.08","1,342.60","538.30","0.64","129.76"
"GICRE","405.80","422.85","393.25","402.60","417.80","15.20","3.78","47,76,334","198.04","467.80","182.50","14.64","126.33"
"HINDCOPPER","333.50","343.75","331.15","330.80","342.85","12.05","3.64","1,46,93,579","496.88","415.80","115.85","0.57","186.40"
"PCBL","268.80","277.00","267.20","261.80","271.00","9.20","3.51","46,80,445","127.03","343.50","151.25","14.68","69.07"
"CHAMBLFERT","522.00","535.85","519.00","517.65","535.30","17.65","3.41","78,68,256","417.00","574.35","250.05","30.99","94.79"
"EMAMILTD","729.80","769.90","720.85","724.20","748.50","24.30","3.36","22,02,935","165.67","775.00","410.00","3.77","77.99"
"ALKEM","5,090.00","5,243.70","5,063.00","5,063.55","5,230.00","166.45","3.29","2,72,224","140.70","5,578.80","3,447.00","5.36","49.59"
"SIGNATURE","1,549.00","1,559.80","1,515.00","1,499.30","1,548.00","48.70","3.25","11,43,703","175.55","1,559.80","444.00","20.64","-"
"JINDALSAW","552.00","577.00","549.15","552.00","569.00","17.00","3.08","16,45,857","93.58","598.00","262.75","2.61","99.21"
"GMRINFRA","96.23","99.40","95.00","96.23","99.19","2.96","3.08","2,42,69,090","235.94","101.25","43.55","14.07","119.05"
"NLCINDIA","268.75","275.30","264.17","261.43","269.00","7.57","2.90","1,54,95,824","419.29","293.75","106.00","21.73","150.07"
"CROMPTON","410.00","423.45","409.50","409.70","421.00","11.30","2.76","22,31,484","93.53","436.50","261.25","5.85","47.06"
"BEML","5,200.00","5,394.80","5,147.00","5,059.95","5,199.00","139.05","2.75","17,89,994","940.75","5,488.00","1,519.00","30.86","237.38"
"SONACOMS","656.45","681.90","656.00","656.90","674.85","17.95","2.73","15,06,819","101.50","718.85","488.10","1.60","26.11"
"CHENNPETRO","962.00","1,006.00","958.05","947.75","973.00","25.25","2.66","20,89,596","204.43","1,122.50","347.90","1.71","119.68"
"LXCHEM","270.15","278.00","265.00","268.45","275.55","7.10","2.64","33,10,331","90.42","320.95","220.00","14.62","5.91"
"RAILTEL","524.00","559.40","523.05","519.75","532.80","13.05","2.51","2,13,75,897","1,156.99","559.40","128.85","41.32","302.63"
"GILLETTE","7,203.55","7,449.00","7,152.75","7,203.55","7,380.00","176.45","2.45","22,191","16.31","7,999.00","5,055.00","-1.72","45.73"
"CESC","169.60","178.80","169.00","168.02","172.00","3.98","2.37","1,42,88,074","248.18","178.80","72.80","17.05","129.27"
"POLYMED","2,076.00","2,150.00","2,067.05","2,075.85","2,125.00","49.15","2.37","6,82,714","144.01","2,150.00","1,075.00","16.18","84.41"
"GLAND","1,845.00","1,892.00","1,834.70","1,839.75","1,883.10","43.35","2.36","3,37,309","63.25","2,194.00","1,042.00","1.47","80.20"
"LINDEINDIA","9,050.00","9,333.00","8,894.80","9,011.20","9,223.00","211.80","2.35","1,39,261","128.25","9,935.05","4,287.05","8.40","112.20"
"OIL","492.90","517.95","490.05","489.50","501.00","11.50","2.35","53,73,870","270.41","517.95","166.17","-18.71","97.49"
"KAYNES","4,340.00","4,574.15","4,251.60","4,238.80","4,338.00","99.20","2.34","5,25,104","230.14","4,574.15","1,556.95","29.99","169.93"
"AFFLE","1,348.70","1,426.25","1,345.00","1,339.40","1,369.60","30.20","2.25","12,22,278","170.40","1,426.25","988.15","13.91","29.49"
"EIDPARRY","760.55","790.00","755.15","759.05","776.00","16.95","2.23","12,11,541","94.41","833.00","452.35","10.45","66.89"
"POLICYBZR","1,381.15","1,438.40","1,380.30","1,379.45","1,410.00","30.55","2.21","15,50,003","218.34","1,543.00","661.30","9.19","100.88"
"ANANDRATHI","4,025.00","4,120.00","3,970.15","4,010.25","4,099.00","88.75","2.21","64,789","26.48","4,299.95","896.00","4.80","348.50"
"360ONE","1,034.95","1,034.95","970.00","964.70","984.90","20.20","2.09","7,76,000","76.53","1,065.00","472.85","22.70","103.63"
