"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"NIFTY NEXT 50","73,693.75","73,812.20","73,232.35","73,426.55","73,508.80","82.25","0.11","63,58,94,517","22,979.97","73,812.20","42,539.15","6.07","66.87"
"IRFC","193.50","206.00","193.50","188.23","202.50","14.27","7.58","26,09,60,455","5,261.75","206.00","32.35","8.43","468.67"
"RECLTD","582.95","615.55","582.00","580.45","608.50","28.05","4.83","2,97,44,866","1,796.80","615.55","159.15","16.84","249.88"
"MARICO","632.00","655.80","629.00","615.35","640.05","24.70","4.01","78,13,665","502.66","667.20","486.30","-5.77","19.01"
"GODREJCP","1,380.45","1,439.70","1,372.30","1,373.80","1,425.00","51.20","3.73","24,71,142","350.99","1,467.10","959.80","-3.79","29.29"
"GAIL","223.50","231.44","221.27","222.96","230.84","7.88","3.53","2,81,99,193","640.12","233.20","106.10","4.82","101.41"
"BEL","328.45","335.80","325.60","324.05","335.50","11.45","3.53","7,09,83,243","2,354.16","335.80","121.90","14.42","161.23"
"DABUR","610.40","633.00","610.40","606.45","624.30","17.85","2.94","72,79,634","455.96","633.40","489.20","-1.08","5.99"
"PFC","538.00","559.75","536.40","534.25","549.80","15.55","2.91","2,07,39,673","1,137.72","559.75","174.08","10.48","141.41"
"BAJAJHLDNG","9,765.00","9,935.00","9,634.25","9,667.60","9,910.00","242.40","2.51","91,945","90.19","9,980.00","6,627.90","15.40","35.20"
"SBICARD","723.25","740.00","714.35","721.95","735.50","13.55","1.88","20,67,366","151.03","892.85","647.95","0.89","-13.71"
"IRCTC","1,030.00","1,051.75","1,027.80","1,026.20","1,045.20","19.00","1.85","60,83,179","633.99","1,138.90","614.35","4.96","62.72"
"UNITDSPR","1,257.00","1,279.00","1,257.00","1,254.15","1,277.30","23.15","1.85","21,22,654","269.64","1,334.85","905.20","-","-"
