"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 07-Jul-2023"
"NIFTY SMALLCAP 250","17,806.20","17,855.05","17,605.60","17,712.30","17,665.75","-46.55","-0.26","83,95,24,106","31,720.65","17,855.05","10,863.05","10.01","64.35"
"RCF","205.18","233.00","205.00","203.94","231.00","27.06","13.27","5,35,84,185","1,177.62","233.00","105.25","32.04","75.28"
"GESHIP","1,303.35","1,449.95","1,303.35","1,267.80","1,354.00","86.20","6.80","69,76,979","959.08","1,449.95","722.50","9.50","70.98"
"GSFC","244.14","258.90","243.32","243.48","258.25","14.77","6.07","1,26,63,863","321.13","322.25","146.15","16.08","45.88"
"IRCON","311.90","334.50","310.75","307.75","326.25","18.50","6.01","6,96,90,983","2,275.62","334.50","79.00","22.66","275.08"
"FSL","239.13","254.65","239.13","235.71","249.57","13.86","5.88","1,12,18,038","279.33","254.65","124.50","19.68","85.09"
"PNCINFRA","486.50","509.80","484.00","481.50","507.90","26.40","5.48","20,52,553","102.30","574.80","310.10","-8.73","37.02"
"GMDCLTD","402.00","436.20","402.00","401.45","423.25","21.80","5.43","1,67,86,494","714.70","506.00","165.05","5.90","141.40"
"HBLPOWER","590.00","621.00","581.05","569.65","599.50","29.85","5.24","66,16,055","399.66","621.00","152.30","20.34","241.11"
"SWANENERGY","692.60","692.60","692.60","659.65","692.60","32.95","5.00","3,81,237","26.40","782.25","214.25","12.05","151.87"
"OLECTRA","1,820.00","1,948.00","1,819.50","1,823.35","1,912.00","88.65","4.86","43,51,214","829.98","2,221.95","985.10","4.30","48.01"
"NATIONALUM","199.80","207.50","198.63","199.02","207.30","8.28","4.16","2,56,66,049","521.30","207.50","82.65","7.40","140.07"
"SUNTECK","544.30","563.00","517.60","539.60","562.00","22.40","4.15","10,86,623","58.90","619.40","284.80","6.24","61.29"
"JBMA","2,158.00","2,319.75","2,130.70","2,149.60","2,238.65","89.05","4.14","12,63,222","285.21","2,428.35","1,113.35","6.17","59.38"
"JYOTHYLAB","477.40","493.80","470.00","471.45","490.50","19.05","4.04","15,70,215","76.16","554.00","228.15","4.96","97.96"
"KPIL","1,237.95","1,284.70","1,229.95","1,228.00","1,274.70","46.70","3.80","14,94,325","189.08","1,342.60","538.30","-2.89","121.70"
"HINDCOPPER","333.50","343.75","331.15","330.80","342.85","12.05","3.64","1,46,93,579","496.88","415.80","115.85","-2.79","176.82"
"PCBL","268.80","277.00","267.20","261.80","271.00","9.20","3.51","46,80,445","127.03","343.50","151.25","11.05","63.73"
