Ticker,ATH,52WeekHigh,Breakout,Today's High,Today High trail SL,T_open,CMP,SL,SL Points,SL-HIT,Volume,Entry,Exit,Profit,Trailing Exit,trailing profit,trailing profit2
ONGC.NS,333.2999878,337.55,333.2999878,337.5499878,6.750999756,318.0499878,335.7999878,328.9669879,4.332999878,No,42015050,333.2999878,335.7999878,2.5,330.798988,-2.500999756,1.750999756
TATAMOTORS.NS,1062.321737,1094,1062.321737,1094,21.88,1029,1090.949951,1050.69852,11.62321737,No,32758485,1062.321737,1090.949951,28.62821404,1072.12,9.798262866,16.88
FEDERALBNK.NS,204,205.15,204,205.1499939,4.102999878,199.6999969,204.6699982,200.96,3.04,No,26156052,204,204.6699982,0.669998169,201.046994,-2.953005981,-0.897000122
NTPC.NS,395,396.3,395,396.2999878,7.925999756,390.9500122,392.1499939,390.05,4.95,No,25969547,395,392.1499939,-2.850006104,388.373988,-6.626011963,2.925999756
NOVAAGRI.NS,83.91000366,94,83.91000366,94,1.88,85.80000305,90.37000275,82.91000366,2.88999939,No,21229201,85.80000305,90.37000275,4.569999695,92.12,6.319996948,-3.12
PETRONET.NS,358.3500061,367.9,358.3500061,367.8999939,7.357999878,344.6000061,365.3500061,353.766506,4.583500061,No,15126143,358.3500061,365.3500061,7,360.541994,2.191987915,2.357999878
LLOYDSENGG.NS,88.335022,90.8,88.335022,90.80000305,1.816000061,84.97000122,89.73000336,86.45167178,1.88335022,No,14742890,88.335022,89.73000336,1.394981361,88.98400299,0.648980995,-3.183999939
INDIACEM.NS,359.6499939,366,359.6499939,366,7.32,345,361.5,355.053494,4.596499939,No,14262217,359.6499939,361.5,1.850006104,358.68,-0.969993896,2.32
JYOTHYLAB.NS,549.9371464,573.85,549.9371464,573.8499756,11.47699951,507,547.7000122,543.4377749,6.499371464,No,13227411,549.9371464,547.7000122,-2.237134167,562.3729761,12.4358297,6.476999512
PGEL.NS,407.9500122,464,407.9500122,464,9.28,448.7000122,449.5499878,406.9500122,41.75,No,9311179,448.7000122,449.5499878,0.849975586,454.72,6.019987793,4.28
WELSPUNLIV.NS,182,184.5,182,184.5,3.69,176.1499939,179.1799927,179.18,2.82,Yes,8211502,182,179.18,-2.82,180.81,-1.19,-1.31
MCDOWELL-N.NS,1335.650024,1334.85,1334.85,1417.300049,28.34600098,1360,1382.849976,1333.85,26.15,No,6354785,1360,1382.849976,22.84997559,1388.954048,28.95404785,23.34600098
ELECTCAST.NS,212.8000031,217.8,212.8000031,217.8000031,4.356000061,209,211.0299988,209.672003,3.128000031,No,6222921,212.8000031,211.0299988,-1.770004272,213.444003,0.643999939,-0.643999939
TATAMTRDVR.NS,709.22554,749.4,709.22554,749.4000244,14.98800049,700,747.25,701.1332846,8.0922554,No,5573968,709.22554,747.25,38.02446003,734.4120239,25.18648396,9.988000488
LICI.NS,1170,1175,1170,1173,23.46,1140,1160.900024,1157.3,12.7,No,5522201,1170,1160.900024,-9.099975586,1149.54,-20.46,18.46
SUNPHARMA.NS,1633.669436,1681.3,1633.669436,1681.300049,33.62600098,1614.849976,1665.800049,1616.332741,17.33669436,No,5328315,1633.669436,1665.800049,32.13061312,1647.674048,14.00461214,28.62600098
BHAGCHEM.NS,348.5,399,348.5,399,7.98,335,373.5700073,344.015,4.485,No,4905744,348.5,373.5700073,25.07000732,391.02,42.52,2.98
SBILIFE.NS,1664.949951,1701.35,1664.949951,1701.349976,34.02699951,1645,1695.400024,1647.300452,17.64949951,No,4426644,1664.949951,1695.400024,30.45007324,1667.322976,2.373024902,29.02699951
FORTIS.NS,508.8035072,514.7,508.8035072,514.7000122,10.29400024,482.3999939,503.3999939,502.7154722,6.088035072,No,4413453,508.8035072,503.3999939,-5.403513349,504.406012,-4.397495283,5.294000244
MARKSANS.NS,207.5500031,211.7,207.5500031,211.6999969,4.233999939,204,201.0099945,204.474503,3.075500031,Yes,4014260,207.5500031,204.474503,-3.075500031,207.465997,-0.084006042,-0.766000061
EPACK.NS,277,286,277,286,5.72,277.8999939,259.980011,276,1.899993896,Yes,3910558,277.8999939,276,-1.899993896,280.28,2.380006104,0.72
GRANULES.NS,543,553.4,543,553.4000244,11.06800049,537.0499878,550.9000244,536.57,6.43,No,3662131,543,550.9000244,7.900024414,542.3320239,-0.667976074,6.068000488
UNITDSPR.NS,1417.300049,1450,1417.300049,1450,29,1374,1443.800049,1402.127048,15.17300049,No,3366402,1417.300049,1443.800049,26.5,1421,3.699951172,24
OPTIEMUS.NS,458,469,458,469,9.38,437.0499878,444.7999878,452.42,5.58,Yes,3048257,458,452.42,-5.58,459.62,1.62,4.38
KOTHARIPET.NS,167.9581003,185.7,167.9581003,185.6999969,3.713999939,157.3899994,177.3699951,165.2785193,2.679581003,No,2757307,167.9581003,177.3699951,9.411894861,181.985997,14.02789675,-1.286000061
