Ticker,ATH,Today's High,T_open,CMP,SL,SL-HIT,Volume,Entry,Exit,Profit
ZOMATO.NS,223.25,230.35000610351562,230.0,217.49000549316406,223.25,Yes,44650124,230.0,223.25,-6.75
ONGC.NS,311.75,327.6000061035156,323.6000061035156,322.6499938964844,311.75,No,37454212,323.6000061035156,322.6499938964844,-0.95001220703125
CASTROLIND.NS,260.20001220703125,277.69000244140625,271.0,269.739990234375,260.20001220703125,No,21032630,271.0,269.739990234375,-1.260009765625
CHENNPETRO.NS,1122.5,1275.0,1100.0,1215.0,1111.275,No,20596741,1122.5,1215.0,92.5
NLCINDIA.NS,292.02137868166506,311.79998779296875,297.25,291.7900085449219,292.02137868166506,Yes,20238420,297.25,292.02137868166506,-5.228621318334945
GAIL.NS,234.10000610351562,239.11000061035156,238.1999969482422,233.41000366210938,234.10000610351562,Yes,19203154,238.1999969482422,234.10000610351562,-4.0999908447265625
NFL.NS,162.3000030517578,162.77999877929688,155.64999389648438,153.6199951171875,160.67700302124024,Yes,17913900,162.3000030517578,160.67700302124024,-1.6230000305175736
INDIACEM.NS,307.8999938964844,324.70001220703125,310.0,323.1499938964844,307.8999938964844,No,17039643,310.0,323.1499938964844,13.149993896484375
HBLPOWER.NS,621.0,684.6500244140625,658.0,644.0,621.0,No,11052959,658.0,644.0,-14.0
SUNTECK.NS,619.4000244140625,699.0,614.0,630.0499877929688,614.0,No,9074729,619.4000244140625,630.0499877929688,10.64996337890625
NOCIL.NS,313.35950141675227,319.0,292.8999938964844,313.3500061035156,310.22590640258477,No,8905809,313.35950141675227,313.3500061035156,-0.009495313236641323
KELLTONTEC.NS,163.6999969482422,180.0,180.0,163.88999938964844,163.6999969482422,No,7271765,180.0,163.88999938964844,-16.110000610351562
APLLTD.NS,1086.9131756852655,1119.0,991.0,1080.949951171875,1076.0440439284127,No,5768773,1086.9131756852655,1080.949951171875,-5.963224513390514
APOLLOTYRE.NS,551.566240214264,553.9000244140625,542.7000122070312,549.8499755859375,546.0505778121213,No,5546777,551.566240214264,549.8499755859375,-1.7162646283264849
TIMETECHNO.NS,352.25,362.5,336.3500061035156,346.5,348.7275,Yes,5041131,352.25,348.7275,-3.5224999999999795
PETRONET.NS,342.54998779296875,355.75,352.6499938964844,351.3999938964844,342.54998779296875,No,4869273,352.6499938964844,351.3999938964844,-1.25
ISMTLTD.NS,146.9499969482422,157.89999389648438,151.0,147.4499969482422,146.9499969482422,No,4861681,151.0,147.4499969482422,-3.5500030517578125
LICHSGFIN.NS,821.25,826.75,804.7000122070312,806.1500244140625,813.0375,Yes,4813703,821.25,813.0375,-8.212499999999977
NATCOPHARM.NS,1259.449951171875,1305.0,1211.4000244140625,1281.449951171875,1246.8554516601562,No,3653437,1259.449951171875,1281.449951171875,22.0
MARICO.NS,667.2000122070312,672.9000244140625,654.0,667.3499755859375,660.5280120849609,No,3414293,667.2000122070312,667.3499755859375,0.14996337890625
