Ticker,Sector,ATH,52WeekHigh,Breakout,Today's High,T_open,CMP,SL,SL Points,SL-HIT,Volume,Entry,Exit,Profit
NFL.NS,Basic Materials,165.3300018310547,169.95,165.3300018310547,169.9499969482422,161.80999755859375,148.64999389648438,162.67670181274414,2.6533000183105457,Yes,69465633,165.3300018310547,162.67670181274414,-2.6533000183105457
ITC.NS,Consumer Defensive,483.88465192595254,497.4,483.88465192595254,497.3999938964844,466.54998779296875,492.20001220703125,478.04580540669303,5.838846519259505,No,54035686,483.88465192595254,492.20001220703125,8.31536028107871
NCC.NS,Industrials,348.45001220703125,349.7,348.45001220703125,349.70001220703125,320.0,337.75,343.96551208496095,4.484500122070301,Yes,51083947,348.45001220703125,343.96551208496095,-4.484500122070301
FEDERALBNK.NS,Financial Services,197.77000427246094,203.44,197.77000427246094,203.44000244140625,203.0,197.9600067138672,196.77000427246094,6.2299957275390625,No,48301660,203.0,197.9600067138672,-5.0399932861328125
INDUSTOWER.NS,Communication Services,424.70001220703125,439.4,424.70001220703125,439.3999938964844,424.0,434.54998779296875,423.0,1.70001220703125,No,34813015,424.70001220703125,434.54998779296875,9.8499755859375
KALYANKJIL.NS,Consumer Cyclical,546.0,561.65,546.0,561.6500244140625,529.0,552.75,539.54,6.460000000000036,No,7421303,546.0,552.75,6.75
DABUR.NS,Consumer Defensive,648.22377286535,662.35,648.22377286535,662.3499755859375,639.9000244140625,652.2999877929688,640.7415351366965,7.482237728653558,No,7195035,648.22377286535,652.2999877929688,4.076214927618707
EMSLIMITED.NS,Industrials,713.0,790.0,713.0,790.0,673.0,768.0499877929688,704.87,8.129999999999995,No,5892987,713.0,768.0499877929688,55.04998779296875
TATACONSUM.NS,Consumer Defensive,1260.2029093265558,1269.0,1260.2029093265558,1262.5999755859375,1215.0,1256.9000244140625,1246.6008802332901,13.602029093265628,No,5139957,1260.2029093265558,1256.9000244140625,-3.302884912493255
HINDUNILVR.NS,Consumer Defensive,2751.199951171875,2811.3,2751.199951171875,2811.300048828125,2746.0,2766.35009765625,2745.0,6.199951171875,No,3905639,2751.199951171875,2766.35009765625,15.150146484375
AWHCL.NS,Industrials,699.0,702.0,699.0,702.0,658.9500122070312,694.3499755859375,691.01,7.990000000000009,No,3185399,699.0,694.3499755859375,-4.6500244140625
GODREJCP.NS,Consumer Defensive,1478.199951171875,1525.0,1478.199951171875,1525.0,1469.0,1516.699951171875,1468.0,10.199951171875,No,2713743,1478.199951171875,1516.699951171875,38.5
GRAVITA.NS,Industrials,1635.0,1738.8,1635.0,1738.800048828125,1472.949951171875,1728.550048828125,1617.65,17.34999999999991,No,2467719,1635.0,1728.550048828125,93.550048828125
KSCL.NS,Basic Materials,1039.550048828125,1100.0,1039.550048828125,1100.0,980.0,993.0499877929688,1028.1545483398438,11.395500488281186,Yes,2315992,1039.550048828125,1028.1545483398438,-11.395500488281186
POCL.NS,Basic Materials,1048.9000244140625,1062.0,1048.9000244140625,1062.0,999.9500122070312,1025.550048828125,1037.4110241699218,11.489000244140698,Yes,1994929,1048.9000244140625,1037.4110241699218,-11.489000244140698
CMSINFO.NS,Industrials,547.7000122070312,558.95,547.7000122070312,558.9500122070312,543.4000244140625,537.7999877929688,542.4000244140625,5.29998779296875,Yes,1957946,547.7000122070312,542.4000244140625,-5.29998779296875
SONAMLTD.NS,Consumer Cyclical,53.400001525878906,59.4,53.400001525878906,59.400001525878906,57.0,58.2599983215332,52.400001525878906,4.599998474121094,No,1547138,57.0,58.2599983215332,1.2599983215332031
LTFOODS.NS,Consumer Defensive,298.0,301.25,298.0,301.25,287.54998779296875,295.29998779296875,294.02,3.980000000000018,No,1544825,298.0,295.29998779296875,-2.70001220703125
EPACK.NS,Industrials,269.2799987792969,275.75,269.2799987792969,275.75,264.6400146484375,266.19000244140625,265.5871987915039,3.6927999877929665,No,1438347,269.2799987792969,266.19000244140625,-3.089996337890625
SMSPHARMA.NS,Healthcare,263.7300109863281,277.68,263.7300109863281,277.67999267578125,256.69000244140625,272.9200134277344,260.0927108764648,3.637300109863304,No,1321276,263.7300109863281,272.9200134277344,9.19000244140625
BHAGCHEM.NS,Basic Materials,285.0,305.0,285.0,305.0,280.0,292.9800109863281,281.15,3.8500000000000227,No,1264528,285.0,292.9800109863281,7.980010986328125
GLAXO.NS,Healthcare,2760.0,2825.0,2760.0,2825.0,2621.10009765625,2689.64990234375,2731.4,28.59999999999991,Yes,1257476,2760.0,2731.4,-28.59999999999991
ICICIGI.NS,Financial Services,1916.0,1925.0,1916.0,1925.0,1920.0,1880.3499755859375,1915.0,5.0,Yes,1213567,1920.0,1915.0,-5.0
