auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,shortName,longName,firstTradeDateEpochUtc,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,Ticker,All Time High,52 Week High,Breakout Level,Today's High,Trailing Stop Loss,Today's Open,Current Market Price,Stop Loss,Stop Loss Points,Stop Loss Hit,Volume,Entry Price,Exit Price,Profit,Trailing Profit
2,7,7,1,5,86400,2,232.43,235.1,235.1,248.89,232.43,235.1,235.1,248.89,7.55,0.59419996,0.904,29.612982,31.790968,45794687,45794687,17564331,12428060,12428060,,,7.23539E+11,157.55,248.89,1.5452378,228.702,189.0915,1.05001E+12,0.0523,1739509642,2936430080,0.52731,0.22681,2936679936,30.666,8.034306,1711843200,1743379200,1719705600,-0.064,24487800832,8.32,7.75,02:01,1312243200,2.242,12.768,0.296319,0.17829525,4.95,1712102400,ASHOK LEYLAND,Ashok Leyland Limited,1025495100,19800000,246.38,177,73,142.03,150,2.1,buy,40,68618801152,23.369,82237497344,4.08038E+11,4.68238E+11,345.368,159.431,-0.065,0.107,0.36839,0.17563,0.1523,ASHOKLEY.NS,245.6699982,248.89,245.6699982,248.8899994,243.8899994,235.1000061,246.3800049,242.2132982,3.456699982,No,45794687,245.6699982,246.3800049,0.710006714,-1.779998779
3,5,8,7,6,86400,2,1090.95,1111.95,1083.6,1120.5,1090.95,1111.95,1083.6,1120.5,3,0.024400001,1.813,13.649457,,21228652,21228652,12599357,10604256,10604256,,,4.10747E+12,593.3,1120.5,0.9379335,979.62,885.4165,4.8163E+12,0.0717,2136168278,3324659968,0.47926998,0.23563999,3852760064,221.588,5.046754,1711843200,1743379200,1711843200,2.219,3.13991E+11,81.93,,05:01,1315785600,1.1,9.922,0.7172202,0.17829525,3,1718064000,TATA MOTORS LTD.,Tata Motors Limited,662787900,19800000,1118.3,,,,,,none,,5.92166E+11,154.522,4.85433E+11,1.12044E+12,4.37928E+12,117.15,1143.185,2.217,0.133,0.43827,0.11085,0.06937,TATAMOTORS.NS,1094,1120.5,1094,1120.5,1115.5,1111.949951,1118.300049,1093,18.94995117,No,21228652,1111.949951,1118.300049,6.350097656,3.550048828
1,10,7,7,10,86400,2,424.85,439.9,435,447.35,424.85,439.9,435,447.35,,,0.251,19.868246,21.08294,20827394,20827394,33304523,25310112,25310112,,,1.19841E+12,157.35,447.35,4.190166,366.266,273.01276,1.349E+12,0.21104999,1317909636,2693969920,0.51068,0.25177,2704750080,100.387,4.4313507,1711843200,1743379200,1711843200,0.324,60361998336,22.39,21.1,,,4.717,9.181,1.4416666,0.17829525,11,1652400000,INDUS TOWERS LIMITED,Indus Towers Limited,1356666300,19800000,444.85,400,180,258.44,250,2.6,hold,25,631000000,0.234,1.46939E+11,2.0531E+11,2.86006E+11,75.932,106.135,0.326,0.065,0.53388,0.51376,0.35285,INDUSTOWER.NS,439.7000122,447.35,439.7000122,447.3500061,442.3500061,439.8999939,444.8500061,438.7000122,1.199981689,No,20827394,439.8999939,444.8500061,4.950012207,2.450012207
3,7,3,5,3,86400,2,392.15,394.95,389.7,399.5,392.15,394.95,389.7,399.5,13,0.4161,0.446,19.397943,16.335531,20376894,20376894,18739792,23497152,23497152,,,3.84279E+12,199.5,399.5,2.152813,370.143,327.284,6.15003E+12,0.11659,4553415072,9696669696,0.52676,0.40570998,9706559488,165.692,2.391787,1711843200,1743379200,1711843200,0.269,2.08119E+11,20.43,24.26,06:05,1552953600,3.445,12.037,0.867381,0.17829525,3.25,1707177600,NTPC LTD,NTPC Limited,1099626300,19800000,396.3,495,258,403,414,1.9,buy,23,68973395968,7.111,5.10927E+11,2.37131E+12,1.78501E+12,143.609,184.06,0.269,0.076,0.4174,0.28623,0.2084,NTPC.NS,396.2999878,399.5,396.2999878,399.5,394.5,394.9500122,396.2999878,393.9500122,2.349975586,No,20376894,396.2999878,396.2999878,0,-1.799987793
,,,,,86400,2,361.5,364,361.7,376.9,361.5,364,361.7,376.9,,,-0.056,,54.84604,15089782,15089782,10569979,17660972,17660972,,,1.15917E+11,172.55,376.9,2.2674398,256.0702,238.0533,1.40177E+11,-0.04447,140418937,309896992,0.76439005,0.17458001,318791008,175.85,2.127097,1711843200,1743379200,1711843200,,-2273400064,-7.34,6.82,,,2.742,141.564,0.6837448,0.17829525,1,1663632000,INDIA CEMENTS,The India Cements Limited,820554300,19800000,374.05,250,120,171.11,160,3.7,underperform,9,852499968,2.689,990200000,26182400000,51122401280,46.76,164.606,,-0.147,0.43268,0.01937,-0.016180001,INDIACEM.NS,366,376.9,366,376.8999939,371.8999939,364,374.0499878,363,3,No,15089782,366,374.0499878,8.049987793,5.899993896
,,,,,86400,2,89.73,90.97,88.55,92.49,89.73,90.97,88.55,92.49,0.2,0.1318,1.206,122.328766,,12102042,12102042,10182591,8854242,8854242,,,1.02185E+11,39.6,92.49,16.369625,71.006,55.483418,1.02211E+11,0.1279,450503275,1142360064,0.57358,0.01047,1155980032,3.592,24.860802,1711843200,1743379200,1711843200,2.305,798382976,0.73,,,,16.374,102.857,1.1288257,0.17829525,0.2,1721347200,LLOYDS ENGG WORK LIMITED,Lloyds Engineering Works Limited,1696477500,19800000,89.3,,,,,,none,,1249713024,1.092,993720000,753017024,6242360832,18.313,5.779,2.066,0.081,0.21037,0.15919,0.13435,LLOYDSENGG.NS,90.80000305,92.49,90.80000305,92.48999786,87.48999786,90.97000122,89.30000305,89.80000305,1.169998169,Yes,12102042,90.97000122,89.80000305,-1.169998169,-3.480003357
10,4,5,1,4,86400,2,1824.85,1825.35,1825.35,1883,1824.85,1825.35,1825.35,1883,20,0.5924,0.588,29.166409,25.955242,11368702,11368702,8739856,11040940,11040940,,,7.78199E+12,1333.25,1883,417.06363,1568.383,1534.4812,7.55616E+12,0.17181998,3577174246,4141779968,0.15885,0.48016998,4141779968,2.404,781.5724,1711843200,1743379200,1719705600,0.054,3206000128,64.42,72.39,02:01,1536019200,404.96,1787.594,0.36132038,0.17829525,8,1717113600,INFOSYS LTD,Infosys Limited,820467900,19800000,1878.9,2140,1160,1809.54,1870,2.3,buy,41,3022000128,0.73,4227000064,1002000000,18659000320,10.017,4.508,0.059,0.021,0.29551,0.22654,0.21086,INFY.NS,1852.602324,1883,1852.602324,1883,1878,1825.349976,1878.900024,1833.076301,19.52602324,No,11368702,1852.602324,1878.900024,26.29770017,25.39767576
,,,,,86400,2,215.99,216.98,215.24,229.34,215.99,216.98,215.24,229.34,2.4,0.0943,0.919,10.491279,19.956951,8792934,8792934,2765293,3055847,3055847,,,1.78758E+11,115.6,229.34,3.6128194,202.9936,181.6489,1.42005E+11,0.34456003,762066994,803336000,,0.36446,816536000,124.818,1.7827557,1711843200,1743379200,1719705600,0.279,17048299520,21.21,11.15,11:10,1534204800,2.87,,0.7418548,0.17829525,2.4,1722470400,KARUR VYSYA BANK,The Karur Vysya Bank Limited,820467900,19800000,222.52,80,49,66.64,65,1.4,strong_buy,11,56585699328,70.319,,24783499264,49478901760,,61.587,0.278,0.195,,,0.47893003,KARURVYSYA.NS,219.8999939,229.34,219.8999939,229.3399963,224.3399963,216.9799957,222.5200043,216.700994,3.198999939,No,8792934,219.8999939,222.5200043,2.620010376,4.440002441
,,,,,86400,2,270.94,272.5,264.55,278.85,270.94,272.5,264.55,278.85,7.5,1.2387,0.694,29.922384,,7857727,7857727,9079369,14218759,14218759,,,2.63116E+11,132.4,278.85,5.153122,218.3012,189.14005,2.5693E+11,0.17193002,482602702,989121984,0.51193,0.21361,989305024,21.45,12.401399,1703980800,1735603200,1711843200,0.068,8778699776,8.89,,02:01,1513814400,5.032,21.437,0.8381275,0.17829525,4.5,1710979200,CASTROL INDIA,Castrol India Limited,1029123900,19800000,266.01,,,,,,none,,11832099840,11.962,11985174528,769500032,51059601408,3.627,51.626,0.068,0.024,0.47533,0.23472999,0.20376,CASTROLIND.NS,277.6900024,278.85,277.6900024,278.8500061,273.8500061,272.5,266.0100098,273.9131024,3.776900024,Yes,7857727,277.6900024,273.9131024,-3.776900024,-3.839996338
,,,,,86400,2,1160.9,1165,1151.05,1197,1160.9,1165,1151.05,1197,13,0.123,0.582,20.821905,17.068022,7726745,7726745,3929101,6620437,6620437,,,7.49101E+12,597.35,1197,0.8747566,1031.258,907.8495,7.61633E+12,0.049429998,151540764,6325000192,0.965,0.00844,7276630016,119.582,9.904082,1711843200,1743379200,1711843200,0.721,4.23298E+11,56.88,69.39,,,0.889,19.75,0.8522537,0.17829525,6,1721347200,Life Insura Corp of India,Life Insurance Corporation of India,1652759100,19800000,1184.35,1300,775,1130.44,1210,1.9,buy,16,4.18245E+11,60.443,3.85646E+11,,8.56354E+12,,1308.714,2.146,0.263,0.10025,0.045029998,0.062750004,LICI.NS,1173,1197,1173,1197,1192,1165,1184.349976,1164,9,No,7726745,1173,1184.349976,11.34997559,19
