auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,payoutRatio,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,shortName,longName,firstTradeDateEpochUtc,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,Ticker,All Time High,52 Week High,Breakout Level,Today's High,Today's Open,Current Market Price,Stop Loss,Stop Loss Points,Stop Loss Hit,Entry Price,Exit Price,Trailing Exit,Profit,Trailing Profit
,,,,,86400,2.0,1741.45,1732.85,1716.8,1865.0,1741.45,1732.85,1716.8,1865.0,,,1.078,148.90372,31.514553,245980.0,245980.0,88469.0,50630.0,50630.0,,,74572824576.0,818.0,1865.0,1.6803857,1530.608,1285.9532,69182054400.0,0.01135,9382532.0,40518800.0,0.78663003,0.065570004,,177.105,10.391858,1711843200.0,1743379200.0,1711843200.0,,503600000.0,12.36,58.4,,,1.559,39.011,,,,,IFB INDUSTRIES LTD,IFB Industries Limited,1025495100,19800000,1840.45,1665.0,875.0,1431.75,1593.5,2.0,buy,4.0,3020800000.0,74.553,1773400064.0,1641400064.0,44378398720.0,22.873,1095.255,,0.079,0.40026,0.03996,0.01391,IFBIND.NS,1765.0,1865.0,1765.0,1865.0,1732.8499755859375,1840.449951171875,1746.35,18.65000000000009,No,1765.0,1840.449951171875,1860.0,75.449951171875,95.0
,,,,,86400,2.0,2253.7,2260.6,2260.0,2367.2,2253.7,2260.6,2260.0,2367.2,1.5,0.0448,0.534,70.217384,41.461227,56965.0,56965.0,92208.0,51279.0,51279.0,,,97834221568.0,1058.8,2367.2,11.893189,1842.325,1443.103,92101271552.0,0.16867,12874293.0,41406700.0,0.68919,0.22361,,116.208,20.29034,1711843200.0,1743379200.0,1711843200.0,0.081,1387512064.0,33.58,56.87,,,11.196,,,,,,Prudent Corp Adv Ser Ltd,Prudent Corporate Advisory Services Limited,1653018300,19800000,2357.9,2550.0,1480.0,2023.25,2031.5,1.2,strong_buy,4.0,1454077056.0,35.104,,203154000.0,8226071040.0,4.22,198.669,0.08,0.346,0.47072,,0.24388,PRUDENT.NS,2286.85009765625,2367.2,2286.85009765625,2367.199951171875,2260.60009765625,2357.89990234375,2262.9815966796873,23.8685009765627,No,2286.85009765625,2357.89990234375,2362.199951171875,71.0498046875,75.349853515625
9.0,2.0,1.0,5.0,2.0,86400,2.0,1305.45,1298.5,1268.55,1313.9,1305.45,1298.5,1268.55,1313.9,9.0,0.2017,0.391,65.79889,81.79511,1533710.0,1533710.0,1162911.0,1239001.0,1239001.0,,,951375298560.0,896.4,1334.85,8.403633,1208.053,1116.1425,910792196096.0,0.12437,269005617.0,727350976.0,0.59509,0.2028,,98.233,13.289322,1711843200.0,1743379200.0,1711843200.0,1.344,14080000000.0,19.84,15.96,5:1,1529020800.0,8.045,45.517,,,,,UNITED SPIRITS,United Spirits Limited,1025495100,19800000,1305.45,900.0,480.0,702.0,704.0,2.4,buy,22.0,18680000512.0,26.354,20010000384.0,2649999872.0,113209999360.0,3.721,159.443,1.345,0.112,0.46577,0.17674999,0.09378,MCDOWELL-N.NS,1417.300048828125,1334.85,1334.85,1450.0,1374.0,1443.800048828125,1333.85,40.15000000000009,No,1374.0,1443.800048828125,1445.0,69.800048828125,71.0
,,,,,86400,2.0,890.25,899.95,899.95,983.6,890.25,899.95,899.95,983.6,11.25,0.2809,0.031,24.299799,48.454456,538973.0,538973.0,190317.0,445966.0,445966.0,,,44435558400.0,305.5,983.6,1.2931782,701.785,638.20123,41200898048.0,0.05088,8509247.0,45642400.0,0.75473,0.031770002,,184.021,5.2898855,1711843200.0,1743379200.0,1711843200.0,-0.087,1748338048.0,40.06,20.09,,,1.199,12.883,,,,,PEARL GLOBAL INDUS,Pearl Global Industries Limited,1171511100,19800000,973.45,,,,,,none,,3659024896.0,83.954,3198076928.0,5905373184.0,34361511936.0,72.241,791.305,-0.094,0.202,0.49892,0.09307,0.11375,PGIL.NS,904.0,983.6,904.0,983.5999755859375,899.9500122070312,973.4500122070312,898.9500122070312,5.04998779296875,No,904.0,973.4500122070312,978.5999755859375,69.45001220703125,74.5999755859375
,,,,,86400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NPST.NS,0P0001N0DJ,103800",,1631763900,19800000,,,,,,,,,,,,,,,,,,,,,NPST.NS,2397.5,0.0,2397.5,2484.85009765625,2410.0,2478.14990234375,2396.5,13.5,No,2410.0,2478.14990234375,2479.85009765625,68.14990234375,69.85009765625
7.0,7.0,6.0,5.0,7.0,86400,2.0,1695.4,1686.25,1686.25,1777.7,1695.4,1686.25,1686.25,1777.7,2.7,0.1331,0.667,86.08407,69.289665,2982219.0,2982219.0,1484764.0,1852528.0,1852528.0,,,1753716490240.0,1251.65,1777.7,1.2636739,1489.362,1452.6842,1663948161024.0,0.01464,417187573.0,1001580032.0,0.57934,0.27964002,,155.559,11.255857,1711843200.0,1743379200.0,1719705600.0,0.363,20322600960.0,20.34,25.27,,,1.199,,,,,,SBI LIFE INSURANCE,SBI Life Insurance Company Limited,1507002300,19800000,1750.95,2450.0,1650.0,1806.7,1777.0,1.4,strong_buy,30.0,33150500864.0,33.117,,,1387791908864.0,,1386.177,0.363,0.243,0.05407,,0.01722,SBILIFE.NS,1701.3499755859375,1777.7,1701.3499755859375,1777.699951171875,1686.25,1750.949951171875,1685.25,16.0999755859375,No,1701.3499755859375,1750.949951171875,1772.699951171875,49.5999755859375,71.3499755859375
,,,,,86400,2.0,814.1,822.2,820.05,902.0,814.1,822.2,820.05,902.0,,,0.545,29.012182,30.382757,2536042.0,2536042.0,548322.0,2011870.0,2011870.0,,,25010550784.0,312.35,902.0,2.8652525,519.575,493.4605,28138840064.0,0.09876,12269160.0,28362900.0,0.54307,0.084580004,,202.342,4.354509,1711843200.0,1743379200.0,1711843200.0,1.876,862081024.0,30.37,29.0,,,3.224,15.781,,,,,Antony Waste Hdg Cell Ltd,Antony Waste Handling Cell Limited,1609472700,19800000,881.1,500.0,500.0,500.0,500.0,2.0,buy,1.0,858574976.0,30.282,1783026944.0,4468519936.0,8728916992.0,62.2,307.812,1.867,0.035,0.64739996,0.20427,0.09403,AWHCL.NS,834.7999877929688,902.0,834.7999877929688,902.0,822.2000122070312,881.0999755859375,825.451987915039,9.347999877929738,No,834.7999877929688,881.0999755859375,897.0,46.29998779296875,62.20001220703125
,,,,,86400,2.0,1459.5,1467.0,1465.0,1532.45,1459.5,1467.0,1465.0,1532.45,0.2,0.012999999,1.123,100.02937,,550701.0,550701.0,551844.0,505840.0,505840.0,,,128124928000.0,579.85,1532.45,29.1291,1166.256,922.3975,120333656064.0,0.29073998,34724554.0,83607904.0,0.58682,0.03891,,53.768,28.501152,1711843200.0,1743379200.0,1711843200.0,0.73,1278845952.0,15.32,,,,27.358,66.554,,,,,ZEN TECHNOLOGIES,Zen Technologies Limited,1427687100,19800000,1532.45,,,,,,none,,1681643008.0,20.154,1808049024.0,60338000.0,4398519808.0,1.294,53.134,0.726,0.475,0.70742995,0.41105998,0.33591,ZENTEC.NS,1486.3499755859375,1532.45,1486.3499755859375,1532.449951171875,1467.0,1532.449951171875,1470.486475830078,15.863499755859493,No,1486.3499755859375,1532.449951171875,1527.449951171875,46.0999755859375,41.0999755859375
6.0,3.0,5.0,1.0,2.0,86400,2.0,1665.8,1670.45,1665.0,1723.8,1665.8,1670.45,1665.0,1723.8,13.5,0.3133,0.519,42.87769,52.45563,4590841.0,4590841.0,2380802.0,1871693.0,1871693.0,,,4113051418624.0,1068.35,1723.8,8.48107,1527.465,1430.45,3873040498688.0,0.19746,1059690283.0,2399330048.0,0.54685,0.26863,,265.352,6.460287,1711843200.0,1743379200.0,1711843200.0,0.338,95763800064.0,39.98,32.68,2:1,1375056000.0,7.986,30.08,,,,,SUN PHARMACEUTICAL,Sun Pharmaceutical Industries Limited,820467900,19800000,1714.25,1000.0,546.0,829.22,852.5,1.9,buy,36.0,190900600832.0,79.564,128759996416.0,32736700416.0,484968497152.0,4.878,202.126,0.338,0.096,0.76405996,0.26549998,0.21121,SUNPHARMA.NS,1681.300048828125,1723.8,1681.300048828125,1723.800048828125,1670.449951171875,1714.25,1669.449951171875,11.85009765625,No,1681.300048828125,1714.25,1718.800048828125,32.949951171875,37.5
,,,,,86400,2.0,768.25,777.4,775.95,874.0,768.25,777.4,775.95,874.0,2.0,0.034,,28.715502,,3767695.0,3767695.0,701847.0,1515503.0,1515503.0,,,46801358848.0,246.5,874.0,5.8994985,579.566,469.72275,39386632192.0,0.19208,15052493.0,55530800.0,0.71049005,0.00071000005,,153.863,5.4776,1711843200.0,1743379200.0,1711843200.0,0.337,1523831040.0,29.35,,,,4.965,19.322,,,,,EMS Limited,EMS Limited,1695267900,19800000,842.8,,,,,,none,,1195176960.0,23.04,2038471040.0,706547008.0,7933108224.0,8.826,152.933,0.212,0.289,0.27629998,0.25696,0.26481,EMSLIMITED.NS,817.5,874.0,817.5,874.0,777.4000244140625,842.7999877929688,808.325,9.174999999999955,No,817.5,842.7999877929688,869.0,25.29998779296875,51.5
,,,,,86400,2.0,218.4,219.35,219.25,262.08,218.4,219.35,219.25,262.08,1.25,0.047199998,0.845,16.199371,,4488254.0,4488254.0,427245.0,402750.0,402750.0,,,9099150336.0,105.5,262.08,1.1702543,198.9668,171.4597,8449093120.0,0.07211,15425847.0,35286500.0,0.56261003,,,100.025,2.5750563,1711843200.0,1743379200.0,1711843200.0,0.467,560697984.0,15.9,,2:1,1359331200.0,1.087,8.16,,,,,20 MICRONS LTD,20 Microns Limited,1223264700,19800000,257.57,110.0,110.0,110.0,110.0,2.0,buy,1.0,487467008.0,13.815,1035483008.0,1218547968.0,7775361024.0,34.413,220.349,0.467,0.225,0.46511,0.13317001,0.11205,20MICRONS.NS,236.0,262.08,236.0,262.0799865722656,219.35000610351562,257.57000732421875,232.64,3.3600000000000136,No,236.0,257.57000732421875,257.0799865722656,21.57000732421875,21.079986572265625
,,,,,86400,2.0,845.0,851.0,845.65,898.0,845.0,851.0,845.65,898.0,4.0,0.0923,0.749,13.678054,,463891.0,463891.0,475597.0,541074.0,541074.0,,,128965763072.0,350.0,898.0,3.3777323,668.66,515.938,133139505152.0,0.24716999,69471283.0,145100992.0,0.51804,0.03973,,476.137,1.8666897,1711843200.0,1743379200.0,1711843200.0,-0.164,9429689344.0,64.98,,,,3.487,7.756,,,,,NAVA LIMITED,Nava Limited,1025495100,19800000,888.8,,,,,,none,,7725051904.0,53.239,17166172160.0,4136558080.0,38181167104.0,4.971,263.136,-0.164,0.048,0.5427,0.44959998,0.32871,NAVA.NS,868.75,898.0,868.75,898.0,851.0,888.7999877929688,859.0625,9.6875,No,868.75,888.7999877929688,893.0,20.04998779296875,24.25
